date,shop,items,cost,method,category,notes
25-Mar,Skype,Auto-topup,£11.50,Barclays via PayPal,comms,
25-Mar,Welsh Back,Squash,£5.00,cash,sport,
26-Mar,Post Office,Parcel supplies,£2.38,cash,living,
26-Mar,Waitrose,Food,£2.63,cash,food,
26-Mar,Caffe Gusto,Lunch,£4.29,cash,food,
26-Mar,Head,DVDs,£1.18,cash,entertainment,
26-Mar,Sainsbury's,Food,£9.24,cash,food,
27-Mar,Watershed,Girl With The Dragon Tattoo,£3.50,cash,entertainment,Loyalty card £1.55
27-Mar,Sainsbury's,Food,£4.96,Halifax debit,food,
29-Mar,Amazon.co.uk,Printer,£39.99,Halifax debit,tech,
30-Mar,Sainsbury's,Food,£20.14,Halifax debit,food,
03-Apr,Some guy,Bike,£60.00,cash,travel,
05-Apr,Sainsbury's,Food,£24.54,Halifax debit,food,
06-Apr,Bike Workshop,Bike light + clips,£16.50,cash,travel,
06-Apr,Sainsbury's,Food,£11.41,cash,food,
06-Apr,eBay,Bike cable lock,£3.78,Barclays via PayPal,travel
06-Apr,eBay,Tennis grips,£5.00,Barclays via PayPal,sport
07-Apr,eBay,Fluo jacket,£15.95,Barclays via PayPal,travel
07-Apr,Uni of Bristol,Swimming,£2.00,cash,sport
07-Apr,Uni of Bristol,Language course Spanish Adv I,£120.00,Halifax cheque,education
07-Apr,Boots,Lunch,£2.99,cash,food
07-Apr,Sainsbury's,Food,£5.53,cash,food
07-Apr,Louisiana,Laura Gibson gig,£10.00,cash,entertainment
07-Apr,Sue & Jesse Burrows,Rent April,£380.00,E-Transfer,accom
08-Apr,Sainsbury's,Washing tablets,£4.58,cash,living
09-Apr,eBay,Athletic tape,£2.89,Barclays via PayPal,sport
09-Apr,eBay,D-lock,£25.49,Barclays via PayPal,travel
09-Apr,Sainsbury's,Food,£9.64,cash,food
09-Apr,Waitrose,Food,£10.66,Halifax debit,food
11-Apr,Welsh Back,Squash,£5.00,cash,sport
12-Apr,Undercover Rock,Beginner Course,£49.00,Halifax debit,sport
12-Apr,Sainsbury's,Food,£16.52,Halifax debit,food,
12-Apr,Watershed,Cinephiles,£2.50,cash,education,
12-Apr,Sainsbury's,Food,£3.06,cash,food,
13-Apr,Post Office,Chocolate peanuts,£1.00,cash,food,
13-Apr,Somerfield,Mini Eggs,£1.80,cash,food,
13-Apr,Sainsbury's,Skewers,£0.99,cash,food,
14-Apr,Sainsbury's,Food,£9.30,cash,food,
14-Apr,Waitrose,Rhubarb,£2.19,cash,food,
14-Apr,Watershed,The Headless Woman,£6.50,cash,entertainment,Loyalty card £2.20
16-Apr,Sainsbury's,Food,£8.70,Halifax debit,food,
17-Apr,WHSmith,Printer paper,£3.99,cash,living,
17-Apr,Tesco,Food,£8.29,cash,food,
18-Apr,Caffe Gusto,Snack,£5.00,cash,food,
18-Apr,Watershed,Io Sono Amore,£3.50,cash,entertainment,Loyalty card £2.55
20-Apr,Sainsbury's,Food,£23.15,Halifax debit,food,
24-Apr,Stationery World,Pad & ruler,£1.98,cash,living,
24-Apr,Sainsbury's,Food,£19.49,cash,food,
25-Apr,Capoeira,Capoeira x2,£10.00,cash,sport,
27-Apr,Sainsbury's,Food,£14.99,Halifax debit,food,
30-Apr,Rise,Book + DVD,£2.00,cash,entertainment,
30-Apr,Sainsbury's,Food,£12.70,Halifax debit,food,
01-May,Tesco,Food,£3.91,cash,food,
01-May,Cube,La Teta Asustada,£5.00,cash,entertainment,
02-May,Cube,La sombra del caminante,£4.00,cash,entertainment,
04-May,Sainsbury's,Food,£22.54,Halifax debit,food,
04-May,Tesco,Food,£4.55,cash,food,
06-May,Bike,Helmet,£29.99,Halifax debit,travel,
06-May,Undercover Rock,Climbing,£11.50,cash,sport,
07-May,Tesco,Food,£3.31,cash,food,
08-May,Watershed,Four Lions,£4.50,cash,entertainment,Loyalty card ~£3.00
08-May,Tesco,Food,£4.07,cash,food,
09-May,Sue & Jesse Burrows,Rent May,£380.00,E-Transfer,accom,
10-May,Sainsbury's,Food,£15.50,cash,food
10-May,Waitrose,Food,£1.15,cash,food
10-May,Watershed,Cinephiles,£2.50,cash,education
13-May,Tesco,Food,£9.25,Halifax debit,food
14-May,Sainsbury's,Food,£0.67,cash,food
14-May,Boots,Vaseline,£1.15,cash,hygiene
17-May,Sainsbury's,Food,£20.64,cash,food
20-May,Undercover Rock,Climbing,£5.00,cash,sport
20-May,Boots,Lunch,£3.99,cash,food
21-May,Sainsbury's,Food,£19.76,cash,food
21-May,EUKHost,New hosting + domains,£88.49,Halifax debit,tech
24-May,Debenhams,Lunch,£2.75,cash,food
24-May,Orange,SIM card,£5.00,cash,comms
24-May,Showcase,Prince of Persia,£6.50,cash,entertainment
24-May,Sainsbury's,Food,£6.01,cash,food
25-May,Undercover Rock,Climbing,£5.00,cash,sport
25-May,Watershed,Bad Lieutenant,£7.00,cash,entertainment,Loyalty card ~£3.70
26-May,Sainsbury's,Food,£7.51,cash,food,
26-May,Welsh Back,Squash,£5.00,cash,sport,
27-May,Waitrose,Food,£2.38,cash,food,
28-May,Marks & Spencer,Suit,£149.00,cash,clothes,
28-May,Tesco,Lunch,£2.40,cash,food,
28-May,Welsh Back,Squash,£5.00,cash,sport,
28-May,Sainsbury's,Food,£21.50,cash,food,
30-May,Watershed,Lebanon,£7.00,cash,entertainment,Loyalty card ~£4.30
01-Jun,Sainsbury's,Food,£18.26,cash,food,
03-Jun,Undercover Rock,Climbing,£5.00,cash,sport,
04-Jun,Sainsbury's,Food,£15.31,cash,food,
05-Jun,Waitrose,Food,£5.38,cash,food,
06-Jun,Hostpapa,Hosting renewal,£59.88,Halifax via Paypal,tech,
07-Jun,Megabus,Manchester trip,£13.50,Halifax debit,travel,
08-Jun,St. George's,Show ticket,£8.00,Halifax debit,entertainment,
09-Jun,Sainsbury's,Food,£9.15,cash,food,
10-Jun,Sue & Jesse Burrows,Rent June,£380.00,E-Transfer,accom,
11-Jun,Boots,Lunch,£2.99,cash,food,
12-Jun,Sainsbury's,Food,£16.37,cash,food,
12-Jun,Watershed,The Killer Inside Me,£4.50,cash,entertainment,
13-Jun,Sainsbury's,Food,£17.28,cash,food,
17-Jun,Sainsbury's,Food,£12.20,cash,food,
19-Jun,Watershed,Greenberg,£0.00,Loyalty card,entertainment,Loyalty card ~0
20-Jun,Waitrose,Food,£7.50,cash,food,
20-Jun,Boots,Earplugs,£2.19,cash,hygiene,
22-Jun,Sainsbury's,Food,£18.61,cash,food,
23-Jun,Amazon.co.uk,iPod Touch,£103.94,Halifax debit,tech,
24-Jun,Sainsbury's,Food,£12.81,cash,food,
27-Jun,Sainsbury's,Food,£10.96,cash,food,
28-Jun,Waitrose,Food,£2.31,cash,food,
29-Jun,Waitrose,Food,£0.98,cash,food,
01-Jul,Somerfield,Food,£8.12,cash,food,
03-Jul,Sainsbury's,Food,£2.96,cash,food,
03-Jul,Folk House,May Birds gig,£3.00,cash,entertainment,
03-Jul,Tesco,Munchies,£0.64,cash,food,
04-Jul,Watershed,Easy Rider,£4.50,cash,entertainment,Loyalty card ~45p
04-Jul,Welsh Back,Squash,£5.00,cash,sport,
06-Jul,Sainsbury's,Food,£14.98,cash,food,
06-Jul,Bristol Ticket Shop,Bon Jovi ticket,£10.50,Halifax debit,entertainment,
07-Jul,Undercover Rock,Climbing,£5.00,cash,sport,
07-Jul,Amazon.co.uk,Hard Disk,£94.99,Halifax debit,tech,
08-Jul,Sainsbury's,Food,£21.61,Halifax debit,food,
08-Jul,Megabus,London return,£10.50,Halifax debit,travel,
08-Jul,Waitrose,Food,£4.74,cash,food,
08-Jul,Sue & Jesse Burrows,Rent July,£380.00,E-Transfer,accom,
09-Jul,Undercover Rock,Climbing,£5.00,cash,sport,
10-Jul,Sainsbury's,Food,£2.20,cash,food,
11-Jul,Sainsbury's,Food,£0.70,cash,food,
12-Jul,eBay,Carabiner + belay,£12.50,Barclays via PayPal,sport,
12-Jul,eBay,Microphone,£1.95,Barclays via PayPal,tech,
12-Jul,eBay,Chalk bag,£10.00,Barclays via PayPal,sport,
12-Jul,Undercover Rock,Climbing,£5.00,cash,sport,
12-Jul,Sainsbury's,Food,£12.18,cash,food,
12-Jul,Watershed,White Material,£7.00,cash,entertainment,Loyalty card ~£1.15
16-Jul,Sainsbury's,Food,£3.78,cash,food,
17-Jul,Corner shop,Cookies,£0.69,cash,food,
18-Jul,Pub,Drinks,£6.70,cash,food,
19-Jul,Tube,Journey,£1.50,Oyster card,travel,
19-Jul,Marks & Spencer,Sandwich,£2.89,cash,food,
19-Jul,WHSmith,Newspaper,£1.00,cash,entertainment,
28-Jul,Tube,Oyster top-up,£20.00,cash,travel,
28-Jul,Stall,Banana,£0.49,cash,food,
28-Jul,Megabus,Ticket change,£5.00,cash,travel,
29-Jul,Boots,Lunch,£2.99,cash,food
29-Jul,Sainsbury's,Food,£17.30,cash,food
30-Jul,Clifton Hardware,Putty,£1.25,cash,living
30-Jul,Amglass,Glass 386x577,£12.69,Halifax debit,living
31-Jul,Harbourside Italian,Biscotti,£6.00,cash,food
31-Jul,Harbourside French,Tartiflette,£4.00,cash,food
31-Jul,Sainsbury's,Food,£8.86,cash,food
01-Aug,People Like Us,Films download,£3.27,Barclays via PayPal,entertainment
01-Aug,Sainsbury's,Lime,£0.35,cash,food
01-Aug,Showcase,Inception,£7.45,cash,entertainment
04-Aug,Megabus,London trip,£13.50,Halifax debit,travel
04-Aug,Sainsbury's,Food,£14.41,cash,food
04-Aug,Welsh Back,Squash,£5.00,cash,sport
05-Aug,Georgian House,Donation,£1.00,cash,education
05-Aug,Mastershoe,Black Oxford Shoes,£30.00,cash,clothes
05-Aug,Sainsbury's,Food,£5.40,cash,food
05-Aug,Welsh Back,Squash,£5.00,cash,sport
06-Aug,Newsagent,Newspaper,£1.00,cash,entertainment
08-Aug,Boots,Lunch,£2.99,cash,food
08-Aug,Waitrose,Snack,£2.06,cash,food
09-Aug,Undercover Rock,Climbing,£5.00,cash,sport
10-Aug,Sue & Jesse Burrows,Rent August,£380.00,E-Transfer,accom
10-Aug,Boots,Insect repellant,£5.64,cash,holiday
10-Aug,Sainsbury's,Food,£12.60,cash,holiday
11-Aug,Waitrose North,Food,£4.26,cash,holiday
11-Aug,Crown Inn Coniston,Meal for 2,£21.40,Halifax debit,holiday
12-Aug,Coniston Hall campsite,Camping 1 night,£16.00,cash,holiday
12-Aug,Coniston Hall campsite,Waters,£1.60,cash,holiday
12-Aug,Co-op Keswick,Food,£7.63,cash,holiday
13-Aug,Keswick Parking,Parking,£2.00,cash,holiday
13-Aug,Country pub,Drinks,£5.30,cash,holiday
13-Aug,Dalebottom campsite,Camping 2 nights,£32.00,cash,holiday
14-Aug,Pooley Bridge parking,Parking,£7.00,cash,holiday,
14-Aug,Pooley Bridge pier,Boat ride,£21.40,Halifax debit,holiday,
14-Aug,Pooley Bridge Inn,Food,£17.50,Halifax debit,holiday,
14-Aug,Morrisons,Food,£10.39,Halifax debit,holiday,
15-Aug,Morrisons,Petrol,£53.00,Halifax debit,holiday,
15-Aug,Tesco,Food,£2.93,cash,food,
16-Aug,Sainsbury's,Food,£17.00,cash,food,
17-Aug,Bike,Pump + bottle,£6.49,cash,sport,
