date,shop,items,cost,method,category,notes
21-Sep,TCA,Bouldering,£5.50,cash,sport,
21-Sep,Asda,Food,£3.94,cash,food,
22-Sep,Tesco,Milk,£0.89,cash,food,
23-Sep,Watershed,Drive,£4.60,cash,entertainment,Loyalty card ~£1.31
23-Sep,Watershed,Soup,£3.60,cash,food,
23-Sep,A woman,Flapjack,£2.00,cash,food,
24-Sep,Lidl,Mouth products,£2.06,cash,hygiene,
24-Sep,Asda,Food,£2.02,cash,food,
26-Sep,Tesco,Food,£3.46,cash,food,
27-Sep,Asda,Food,£19.31,cash,food,
28-Sep,Colston Hall,Roddy Woomble,£15.00,cash,entertainment,
28-Sep,TCA,Bouldering,£5.50,cash,sport,
28-Sep,East St Fruit Mkt,Fruit,£2.09,cash,food,
28-Sep,Tesco,Snacks,£1.17,cash,food,
30-Sep,Tesco,Savlon,£1.88,cash,hygiene,
01-Oct,Fopp,3 books,£6.00,cash,education,
03-Oct,Tesco,Onions,£0.87,cash,food,
04-Oct,Tesco,Food,£1.50,cash,food,
05-Oct,East St Fruit Mkt,Food,£3.51,cash,food,
05-Oct,Bananas,Food,£0.95,cash,food,
07-Oct,Asda,Food,£2.18,cash,food,
07-Oct,Watershed,Tinker Tailor Soldier Spy,£4.60,cash,entertainment,Loyalty card ~£1.77
10-Oct,Damien McIntyre,Rent + Broadband,£435.00,E-Transfer,accom,
10-Oct,Amazon.co.uk,Lens adaptor,£1.00,Halifax debit,tech,used £10 Nectar voucher
10-Oct,Asda,Food,£19.88,cash,food,
10-Oct,Asda,Chef's knife,£7.00,cash,living,
10-Oct,Lidl,Food,£2.25,cash,food,
10-Oct,Tesco,Food,£1.56,cash,food,
13-Oct,Vodafone,Credit topup,£15.00,cash,comms,
13-Oct,Marks & Spencer,Food,£4.45,cash,food,
13-Oct,Redspottedhanky.com,Exeter return,,Halifax debit,travel,
14-Oct,East St Fruit Mkt,Fruit,£2.50,cash,food,
14-Oct,Aldi,Food,£3.16,cash,food,
15-Oct,Westonbirt Arboretum,Entry,£9.00,cash,social,
15-Oct,Jo May,Petrol money,£2.00,cash,travel,
15-Oct,Wilkinson,Chocolate,£0.39,cash,food,
15-Oct,Tesco,Bananas,£0.38,cash,food,
16-Oct,Campus shop,Flapjack,£0.80,cash,food,
16-Oct,Lulu's,Sandwich,£4.95,cash,food
16-Oct,Tesco,Food,£1.24,cash,food
18-Oct,East St Fruit Mkt,Food,£1.62,cash,food
18-Oct,Asda,Food,£21.60,Halifax debit,food
21-Oct,Tesco,Food,£3.32,cash,food
22-Oct,Vintage Fair,Entry,£2.00,cash,entertainment
22-Oct,El Taco Guapo,Lunch,£4.95,cash,food
22-Oct,Foyle's,Russian Grammar,£7.99,cash,education
22-Oct,Superdrug,Vitamin C,£2.49,cash,health
22-Oct,Eurostar,Xmas travel,£80.00,Halifax debit,travel
23-Oct,Tesco,Paper + milk,£3.09,cash,education
24-Oct,Lidl,Food,£6.98,cash,food
25-Oct,Superdrug,1L Shampoo,£4.99,cash,hygiene
25-Oct,Tesco,Food,£3.54,cash,food
27-Oct,Asda,Food,£13.88,cash,food
27-Oct,East St Fruit Mkt,Food,£2.19,cash,food
28-Oct,Tesco,Food,£1.79,cash,food,
31-Oct,Amazon.co.uk,Mandolin,£29.99,Halifax debit,stuff,used £5 Nectar voucher
31-Oct,Amazon.co.uk,PG510 printer cartridge,£10.88,Halifax debit,tech,
31-Oct,eBay,Camera lens caps,£1.99,PayPal,tech,
31-Oct,eBay,Camera bag,£10.98,PayPal,stuff,
01-Nov,Tobacco Factory Theatre,Timon of Athens,£8.00,cash,entertainment,
01-Nov,Mark's Bread,Bun,£1.00,cash,food,
02-Nov,Tesco,Food,£1.43,cash,food,
03-Nov,Groupon,Photo calendar,£4.00,Halifax debit,gift,
